_id;type;date;titre;content part 1;content part 2;content part 3;content part 4
61813a68b39bfadf5a0f91db;content;2021-10-19;DA & Cuir chevelu;Plusieurs formes d’eczéma peuvent toucher le cuir chevelu ☝️ : la dermite séborrhéique, l’eczéma atopique ou l’eczéma allergique. ;🔸 Dans le cas d’une allergie, les symptômes sont vésiculeux (bouton avec du liquide). Le crane est souvent la seule zone touchée. La première chose à faire ici est de supprimer l’agent déclenchant (shampoing 🧴, coloration…). ;🔸 Dans le cas de l’eczéma atopique, ces lésions sont présentes surtout si d’autres parties du corps sont touchées. Elles ont un aspect « classique » d’eczéma, soit suintant, soit sec.;N’oublie pas que seul un dermatologue 👩‍⚕ peut poser le diagnostic ! Si tu veux savoir comment traiter les atteintes du cuir chevelu, clique sur le bouton ci-dessous 👇 :
61baffb7732ddd0939bf1e1c;content;2021-10-20;Ichtyose ;On parle d’ichtyoses pour évoquer des maladies héréditaires touchant le processus de formation de l’épiderme (= la kératinisation). ;On en retrouve différentes formes, mais la plus fréquente est nommée ichtyose vulgaire ☝️. Elle débute pendant l’enfance et est caractérisée par une peau des membres et du tronc sèche et écailleuse (« peau de serpent »).  ;L’ichtyose vulgaire est souvent associée à la dermatite atopique, du fait de leur possible origine génétique commune : le déficit en filaggrine 🧬. ;Le traitement local est l'hydratation par des émollients 🧴, auxquels peuvent être ajoutés des kératolytiques (urée, acide salicylique).
61652e2cd880ef001b41770a;content;2021-10-21;LSA & DA;Le lichen scléro-atrophique (LSA) est une dermatose inflammatoire fibrosante chronique, à prédominance féminine. 👩‍🦰 Il touche majoritairement la région ano-génitale. ;Celui-ci se caractérise par des démangeaisons, une irritation au niveau des muqueuses ainsi que des douleurs et des difficultés à uriner.❌;Cependant, il ne faut pas t'inquiéter ! ☝️ Cette maladie n'est pas contagieuse et se contrôle facilement avec l'application d'un dermocorticoïde. 😉;
5f2289ccc4c596001a7844f1;content;2021-08-23;Le derme;Le derme 🔎 est la couche la plus épaisse de la peau. Il se trouve sous l’épiderme 👇.;Il est constitué de protéines (collagène et élastine) qui donne à la peau de la force 💪, solidité, extensibilité et flexibilité 🤸‍♀️.;Mais il abrite également d'autres structures comme des vaisseaux sanguins 🩸, des follicules pileux (cavité où prend naissance le poil), des glandes sudoripares (qui fabriquent la sueur) 🥵...;
5f2289ccc4c596001a7844e1;content;2021-10-14;L'épiderme;L’épiderme 🔎  est la couche supérieure de la peau, c’est-à-dire la couche la plus externe. C’est celle que tu peux voir 🧐 !;C’est une couche très mince, mais aussi très résistante 💪. Elle protège ton corps et te donne ta couleur de peau.;Elle est constituée de plusieurs couches de cellules différentes, ainsi que d'une protéine particulière : la filaggrine 👆.;
5f2289ccc4c596001a784501;content;2021-12-26;Fonctions de la peau;Grâce à ses couches, la peau assure de nombreuses fonctions 🤗 :;;;
5f2289ccc4c596001a7844f9;content;2021-02-03;Hypoderme;L'hypoderme 🔎 est la couche la plus profonde de la peau. Il se trouve sous le derme 👇.;Il est majoritairement constitué de tissu graisseux. Ainsi, il permet de protéger le corps contre les blessures ⚔ et de conserver la chaleur corporelle 🌡.;;
62a85c9d871c1330ecf35a44;questionnaire;2021-10-19;Evaluation du Contrôle;Coucou ! Je te propose de répondre à un rapide questionnaire 📃 (de six questions), afin d'évaluer le contrôle de ta dermatite atopique ! 👇👇;;;
62a85c9d871c13a96df358d2;questionnaire;2022-06-04;Evaluation de la Sévérité;Salut ! Je te propose de répondre à ce rapide questionnaire, de sept questions, afin d'évaluer l'intensité de ta dermatite atopique !👇👇 ;;;
62a85c9d871c13e5e7f357b6;questionnaire;2022-09-09;Sévérité des Insomnies;Salut 👋 ! Je te propose de répondre à ce court questionnaire afin d'évaluer tes éventuelles insomnies 😴 ! Effectivement, certaines personnes touchées par la dermatite atopique peuvent être réveillées la nuit à cause de crises nocturnes ! ;;;
